model,task_id,task_name,game,image_name,run_idx,ttft_s,throughput_tps,total_time_s,output_tokens,vram_mb,response_text
Qwen/Qwen3.5-0.8B,ui_bbox,UI 元素检测 (Bounding Box),明日方舟,Arknights_01.png,1,2.1718,269.91,5.9656,1024,11741,"```json [ 	{""bbox_2d"": [38, 46, 114, 114], ""label"": ""设置按钮""}, 	{""bbox_2d"": [303, 19, 355, 46], ""label"": ""能量条""}, 	{""bbox_2d"": [355, 19, 407, 46], ""label"": ""等级""}, 	{""bbox_2d"": [407, 19, 459, 46], ""label"": ""等级""}, 	{""bbox_2d"": [459, 19, 511, 46], ""label"": ""等级""}, 	{""bbox_2d"": [511, 19, 563, 46], ""label"": ""等级""}, 	{""bbox_2d"": [563, 19, 615, 46], ""label"": ""等级""}, 	{""bbox_2d"": [615, 19, 667, 46], ""label"": ""等级""}, 	{""bbox_2d"": [667, 19, 719, 46], ""label"": ""等级""}, 	{""bbox_2d"": [719, 19, 771, 46], ""label"": ""等级""}, 	{""bbox_2d"": [771, 19, 823, 46], ""label"": ""等级""}, 	{""bbox_2d"": [823, 19, 875, 46], ""label"": ""等级""}, 	{""bbox_2d"": [875, 19, 927, 46], ""label"": ""等级""}, 	{""bbox_2d"": [927, 19, 979, 46], ""label"": ""等级""}, 	{""bbox_2d"": [979, 19, 1031, 46], ""label"": ""等级""}, 	{""bbox_2d"": [979, 46, 1031, 73], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 73, 1031, 100], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 100, 1031, 127], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 127, 1031, 154], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 154, 1031, 181], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 181, 1031, 208], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 208, 1031, 235], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 235, 1031, 262], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 262, 1031, 289], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 289, 1031, 316], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 316, 1031, 343], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 343, 1031, 370], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 370, 1031, 397], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 397, 1031, 424], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 424, 1031, 451], ""label"": ""单位限制""},"
Qwen/Qwen3.5-0.8B,ui_bbox,UI 元素检测 (Bounding Box),明日方舟,Arknights_01.png,2,2.1298,269.65,5.9272,1024,11668,"```json [ 	{""bbox_2d"": [38, 46, 114, 114], ""label"": ""设置按钮""}, 	{""bbox_2d"": [303, 19, 355, 46], ""label"": ""能量条""}, 	{""bbox_2d"": [355, 19, 407, 46], ""label"": ""等级""}, 	{""bbox_2d"": [407, 19, 459, 46], ""label"": ""等级""}, 	{""bbox_2d"": [459, 19, 511, 46], ""label"": ""等级""}, 	{""bbox_2d"": [511, 19, 563, 46], ""label"": ""等级""}, 	{""bbox_2d"": [563, 19, 615, 46], ""label"": ""等级""}, 	{""bbox_2d"": [615, 19, 667, 46], ""label"": ""等级""}, 	{""bbox_2d"": [667, 19, 719, 46], ""label"": ""等级""}, 	{""bbox_2d"": [719, 19, 771, 46], ""label"": ""等级""}, 	{""bbox_2d"": [771, 19, 823, 46], ""label"": ""等级""}, 	{""bbox_2d"": [823, 19, 875, 46], ""label"": ""等级""}, 	{""bbox_2d"": [875, 19, 927, 46], ""label"": ""等级""}, 	{""bbox_2d"": [927, 19, 979, 46], ""label"": ""等级""}, 	{""bbox_2d"": [979, 19, 1031, 46], ""label"": ""等级""}, 	{""bbox_2d"": [979, 46, 1031, 73], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 73, 1031, 100], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 100, 1031, 127], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 127, 1031, 154], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 154, 1031, 181], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 181, 1031, 208], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 208, 1031, 235], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 235, 1031, 262], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 262, 1031, 289], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 289, 1031, 316], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 316, 1031, 343], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 343, 1031, 370], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 370, 1031, 397], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 397, 1031, 424], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 424, 1031, 451], ""label"": ""单位限制""},"
Qwen/Qwen3.5-0.8B,ui_bbox,UI 元素检测 (Bounding Box),明日方舟,Arknights_01.png,3,2.1296,277.44,5.8205,1024,11728,"```json [ 	{""bbox_2d"": [38, 46, 114, 114], ""label"": ""设置按钮""}, 	{""bbox_2d"": [303, 19, 355, 46], ""label"": ""能量条""}, 	{""bbox_2d"": [355, 19, 407, 46], ""label"": ""等级""}, 	{""bbox_2d"": [407, 19, 459, 46], ""label"": ""等级""}, 	{""bbox_2d"": [459, 19, 511, 46], ""label"": ""等级""}, 	{""bbox_2d"": [511, 19, 563, 46], ""label"": ""等级""}, 	{""bbox_2d"": [563, 19, 615, 46], ""label"": ""等级""}, 	{""bbox_2d"": [615, 19, 667, 46], ""label"": ""等级""}, 	{""bbox_2d"": [667, 19, 719, 46], ""label"": ""等级""}, 	{""bbox_2d"": [719, 19, 771, 46], ""label"": ""等级""}, 	{""bbox_2d"": [771, 19, 823, 46], ""label"": ""等级""}, 	{""bbox_2d"": [823, 19, 875, 46], ""label"": ""等级""}, 	{""bbox_2d"": [875, 19, 927, 46], ""label"": ""等级""}, 	{""bbox_2d"": [927, 19, 979, 46], ""label"": ""等级""}, 	{""bbox_2d"": [979, 19, 1031, 46], ""label"": ""等级""}, 	{""bbox_2d"": [979, 46, 1031, 73], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 73, 1031, 100], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 100, 1031, 127], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 127, 1031, 154], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 154, 1031, 181], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 181, 1031, 208], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 208, 1031, 235], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 235, 1031, 262], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 262, 1031, 289], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 289, 1031, 316], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 316, 1031, 343], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 343, 1031, 370], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 370, 1031, 397], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 397, 1031, 424], ""label"": ""单位限制""}, 	{""bbox_2d"": [979, 424, 1031, 451], ""label"": ""单位限制""},"
Qwen/Qwen3.5-0.8B,ui_bbox,UI 元素检测 (Bounding Box),赛博朋克2077,Cyberpunk-2077_01.png,1,2.1361,275.48,5.8532,1024,11792,"```json [ 	{""bbox_2d"": [316, 100, 342, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [342, 100, 368, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [368, 100, 394, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [394, 100, 420, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [420, 100, 446, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [446, 100, 472, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [472, 100, 500, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [500, 100, 526, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [526, 100, 552, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [552, 100, 578, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [578, 100, 604, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [604, 100, 630, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [630, 100, 656, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [656, 100, 682, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [682, 100, 708, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [708, 100, 734, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [734, 100, 760, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [760, 100, 786, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [786, 100, 812, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [812, 100, 838, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [838, 100, 864, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [864, 100, 890, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [890, 100, 916, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [916, 100, 942, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [942, 100, 968, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [968, 100, 994, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [994, 100, 1020, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [994, 125, 1020, 146], ""label"": ""小地图""}, 	{""bbox_2d"": [994, 146, 1020, 167], ""label"": ""小地图""}, 	"
Qwen/Qwen3.5-0.8B,ui_bbox,UI 元素检测 (Bounding Box),赛博朋克2077,Cyberpunk-2077_01.png,2,2.13,269.1,5.9353,1024,11715,"```json [ 	{""bbox_2d"": [316, 100, 342, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [342, 100, 368, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [368, 100, 394, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [394, 100, 420, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [420, 100, 446, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [446, 100, 472, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [472, 100, 500, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [500, 100, 526, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [526, 100, 552, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [552, 100, 578, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [578, 100, 604, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [604, 100, 630, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [630, 100, 656, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [656, 100, 682, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [682, 100, 708, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [708, 100, 734, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [734, 100, 760, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [760, 100, 786, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [786, 100, 812, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [812, 100, 838, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [838, 100, 864, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [864, 100, 890, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [890, 100, 916, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [916, 100, 942, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [942, 100, 968, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [968, 100, 994, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [994, 100, 1020, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [994, 125, 1020, 146], ""label"": ""小地图""}, 	{""bbox_2d"": [994, 146, 1020, 167], ""label"": ""小地图""}, 	"
Qwen/Qwen3.5-0.8B,ui_bbox,UI 元素检测 (Bounding Box),赛博朋克2077,Cyberpunk-2077_01.png,3,2.1226,272.98,5.8737,1024,11709,"```json [ 	{""bbox_2d"": [316, 100, 342, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [342, 100, 368, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [368, 100, 394, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [394, 100, 420, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [420, 100, 446, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [446, 100, 472, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [472, 100, 500, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [500, 100, 526, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [526, 100, 552, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [552, 100, 578, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [578, 100, 604, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [604, 100, 630, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [630, 100, 656, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [656, 100, 682, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [682, 100, 708, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [708, 100, 734, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [734, 100, 760, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [760, 100, 786, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [786, 100, 812, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [812, 100, 838, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [838, 100, 864, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [864, 100, 890, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [890, 100, 916, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [916, 100, 942, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [942, 100, 968, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [968, 100, 994, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [994, 100, 1020, 125], ""label"": ""小地图""}, 	{""bbox_2d"": [994, 125, 1020, 146], ""label"": ""小地图""}, 	{""bbox_2d"": [994, 146, 1020, 167], ""label"": ""小地图""}, 	"
Qwen/Qwen3.5-0.8B,ui_bbox,UI 元素检测 (Bounding Box),原神,Genshin-Impact_01.png,1,2.1229,275.14,5.8447,1024,11709,"```json [ 	{""bbox_2d"": [580, 605, 694, 997], ""label"": ""技能图标""}, 	{""bbox_2d"": [666, 613, 762, 997], ""label"": ""技能图标""}, 	{""bbox_2d"": [730, 650, 830, 997], ""label"": ""技能图标""}, 	{""bbox_2d"": [780, 797, 908, 997], ""label"": ""技能图标""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""技能图标""}, 	{""bbox_2d"": [0, 0, 894, 842], ""label"": ""技能图标""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": ["
Qwen/Qwen3.5-0.8B,ui_bbox,UI 元素检测 (Bounding Box),原神,Genshin-Impact_01.png,2,2.1307,277.91,5.8153,1024,11712,"```json [ 	{""bbox_2d"": [580, 605, 694, 997], ""label"": ""技能图标""}, 	{""bbox_2d"": [666, 613, 762, 997], ""label"": ""技能图标""}, 	{""bbox_2d"": [730, 650, 830, 997], ""label"": ""技能图标""}, 	{""bbox_2d"": [780, 797, 908, 997], ""label"": ""技能图标""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""技能图标""}, 	{""bbox_2d"": [0, 0, 894, 842], ""label"": ""技能图标""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": ["
Qwen/Qwen3.5-0.8B,ui_bbox,UI 元素检测 (Bounding Box),原神,Genshin-Impact_01.png,3,2.103,281.3,5.7433,1024,11707,"```json [ 	{""bbox_2d"": [580, 605, 694, 997], ""label"": ""技能图标""}, 	{""bbox_2d"": [666, 613, 762, 997], ""label"": ""技能图标""}, 	{""bbox_2d"": [730, 650, 830, 997], ""label"": ""技能图标""}, 	{""bbox_2d"": [780, 797, 908, 997], ""label"": ""技能图标""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""技能图标""}, 	{""bbox_2d"": [0, 0, 894, 842], ""label"": ""技能图标""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": [512, 693, 575, 853], ""label"": ""小地图""}, 	{""bbox_2d"": ["
Qwen/Qwen3.5-0.8B,ui_bbox,UI 元素检测 (Bounding Box),我的世界,Minecraft_01.png,1,2.1511,261.57,6.0659,1024,11706,"```json [ 	{""bbox_2d"": [100, 783, 112, 800], ""label"": ""血条""}, 	{""bbox_2d"": [112, 783, 124, 800], ""label"": ""血条""}, 	{""bbox_2d"": [124, 783, 136, 800], ""label"": ""血条""}, 	{""bbox_2d"": [136, 783, 148, 800], ""label"": ""血条""}, 	{""bbox_2d"": [148, 783, 160, 800], ""label"": ""血条""}, 	{""bbox_2d"": [160, 783, 172, 800], ""label"": ""血条""}, 	{""bbox_2d"": [172, 783, 184, 800], ""label"": ""血条""}, 	{""bbox_2d"": [184, 783, 196, 800], ""label"": ""血条""}, 	{""bbox_2d"": [196, 783, 208, 800], ""label"": ""血条""}, 	{""bbox_2d"": [208, 783, 220, 800], ""label"": ""血条""}, 	{""bbox_2d"": [220, 783, 232, 800], ""label"": ""血条""}, 	{""bbox_2d"": [232, 783, 244, 800], ""label"": ""血条""}, 	{""bbox_2d"": [244, 783, 256, 800], ""label"": ""血条""}, 	{""bbox_2d"": [256, 783, 268, 800], ""label"": ""血条""}, 	{""bbox_2d"": [268, 783, 280, 800], ""label"": ""血条""}, 	{""bbox_2d"": [280, 783, 292, 800], ""label"": ""血条""}, 	{""bbox_2d"": [292, 783, 304, 800], ""label"": ""血条""}, 	{""bbox_2d"": [304, 783, 316, 800], ""label"": ""血条""}, 	{""bbox_2d"": [316, 783, 328, 800], ""label"": ""血条""}, 	{""bbox_2d"": [328, 783, 340, 800], ""label"": ""血条""}, 	{""bbox_2d"": [340, 783, 352, 800], ""label"": ""血条""}, 	{""bbox_2d"": [352, 783, 364, 800], ""label"": ""血条""}, 	{""bbox_2d"": [364, 783, 376, 800], ""label"": ""血条""}, 	{""bbox_2d"": [376, 783, 388, 800], ""label"": ""血条""}, 	{""bbox_2d"": [388, 783, 400, 800], ""label"": ""血条""}, 	{""bbox_2d"": [400, 783, 412, 800], ""label"": ""血条""}, 	{""bbox_2d"": [412, 783, 424, 800], ""label"": ""血条""}, 	{""bbox_2d"": [424, 783, 436, 800], ""label"": ""血条""}, 	{""bbox_2d"": [436, 783, 448, 800], ""label"": ""血条""}, 	{""bbox_"
