model,scenario_id,scenario_name,image_name,run_idx,ttft_s,throughput_tps,total_time_s,output_tokens,vram_mb,response_preview
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,Arknights_01.png,1,2.3205,95.71,2.4354,11,11083,这是一张策略类游戏的战斗画面，玩家
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,Arknights_01.png,2,2.27,86.35,2.3974,11,11079,这是一张策略类游戏的战斗画面，玩家
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,Arknights_01.png,3,2.2941,93.67,2.4115,11,11081,这是一张策略类游戏的战斗画面，玩家
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,Cyberpunk-2077_01.png,1,2.1308,120.86,2.5942,56,11081,这是一张来自游戏《赛博朋克2077》的截图，画面中主角驾驶着一辆黑色跑车在一条城市高架路上行驶，前方是未来都市的建筑群和广告牌，游戏界面显示了任务目标和对话。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,Cyberpunk-2077_01.png,2,2.1062,120.7,2.5702,56,11081,这是一张来自游戏《赛博朋克2077》的截图，画面中主角驾驶着一辆黑色跑车在一条城市高架路上行驶，前方是未来都市的建筑群和广告牌，游戏界面显示了任务目标和对话。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,Cyberpunk-2077_01.png,3,2.109,122.11,2.5676,56,11076,这是一张来自游戏《赛博朋克2077》的截图，画面中主角驾驶着一辆黑色跑车在一条城市高架路上行驶，前方是未来都市的建筑群和广告牌，游戏界面显示了任务目标和对话。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,Genshin-Impact_01.png,1,2.0964,117.51,2.3942,35,11076,在一片蓝天白云下，一群角色正面对着一只巨大的、散发着蓝光的龙形怪物，它张开巨口，似乎正要发动攻击。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,Genshin-Impact_01.png,2,2.0967,117.46,2.3946,35,11076,在一片蓝天白云下，一群角色正面对着一只巨大的、散发着蓝光的龙形怪物，它张开巨口，似乎正要发动攻击。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,Genshin-Impact_01.png,3,2.0865,121.06,2.3756,35,11065,在一片蓝天白云下，一群角色正面对着一只巨大的、散发着蓝光的龙形怪物，它张开巨口，似乎正要发动攻击。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,Minecraft_01.png,1,2.128,115.58,2.5692,51,11081,这是一张《我的世界》游戏截图，玩家正站在一座由灰色石块建造的城堡前，城堡坐落在山坡上，周围是绿色的草地、泥土和一些小花，天空是蓝色的，有白色的云朵。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,Minecraft_01.png,2,2.1303,116.46,2.5682,51,11077,这是一张《我的世界》游戏截图，玩家正站在一座由灰色石块建造的城堡前，城堡坐落在山坡上，周围是绿色的草地、泥土和一些小花，天空是蓝色的，有白色的云朵。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,Minecraft_01.png,3,2.1416,117.69,2.5749,51,11084,这是一张《我的世界》游戏截图，玩家正站在一座由灰色石块建造的城堡前，城堡坐落在山坡上，周围是绿色的草地、泥土和一些小花，天空是蓝色的，有白色的云朵。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,P5R_01.png,1,2.0892,125.31,2.4882,50,11080,这是一张《女神异闻录5》游戏的战斗画面，玩家操控的角色（Shisaa）正在一个华丽的室内场景中与多个敌人进行战斗，画面中显示了角色的技能、状态和战斗选项。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,P5R_01.png,2,2.0802,122.36,2.4888,50,11076,这是一张《女神异闻录5》游戏的战斗画面，玩家操控的角色（Shisaa）正在一个华丽的室内场景中与多个敌人进行战斗，画面中显示了角色的技能、状态和战斗选项。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,P5R_01.png,3,2.0822,123.95,2.4856,50,11097,这是一张《女神异闻录5》游戏的战斗画面，玩家操控的角色（Shisaa）正在一个华丽的室内场景中与多个敌人进行战斗，画面中显示了角色的技能、状态和战斗选项。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,SuperMarioBros_01.png,1,2.0939,119.78,2.4862,47,11101,这是一张经典游戏《超级马里奥兄弟》的标题画面，画面中央是游戏的标志，下方是砖块平台、绿色小山和两个角色，空中还有问号砖块和云朵。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,SuperMarioBros_01.png,2,2.081,122.4,2.465,47,11110,这是一张经典游戏《超级马里奥兄弟》的标题画面，画面中央是游戏的标志，下方是砖块平台、绿色小山和两个角色，空中还有问号砖块和云朵。
Qwen/Qwen3-VL-2B-Instruct,short_desc,短文本描述,SuperMarioBros_01.png,3,2.0926,119.51,2.4859,47,11121,这是一张经典游戏《超级马里奥兄弟》的标题画面，画面中央是游戏的标志，下方是砖块平台、绿色小山和两个角色，空中还有问号砖块和云朵。
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,Cyberpunk-2077_01.png,1,2.1082,133.96,5.9304,512,11084,好的，这是一张来自游戏《赛博朋克2077》的截图，以下是对其所有元素的详细中文描述。  ---  ### **整体概览**  这是一张从第一人称视角拍摄的游戏画面，展示了一辆黑色跑车在一条城市高架桥上行驶的场景。画面整体色调偏冷，带有明显的赛博朋克风格，光线明亮，但环境略显荒凉。画面中充满了游戏的UI元素，表明玩家正处于游戏的“进行中”阶段。  ---  ### **角色**  - **玩家角色*
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,Cyberpunk-2077_01.png,2,2.1057,133.93,5.9286,512,11084,好的，这是一张来自游戏《赛博朋克2077》的截图，以下是对其所有元素的详细中文描述。  ---  ### **整体概览**  这是一张从第一人称视角拍摄的游戏画面，展示了一辆黑色跑车在一条城市高架桥上行驶的场景。画面整体色调偏冷，带有明显的赛博朋克风格，光线明亮，但环境略显荒凉。画面中充满了游戏的UI元素，表明玩家正处于游戏的“进行中”阶段。  ---  ### **角色**  - **玩家角色*
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,Cyberpunk-2077_01.png,3,2.1082,133.9,5.9319,512,11075,好的，这是一张来自游戏《赛博朋克2077》的截图，以下是对其所有元素的详细中文描述。  ---  ### **整体概览**  这是一张从第一人称视角拍摄的游戏画面，展示了一辆黑色跑车在一条城市高架桥上行驶的场景。画面整体色调偏冷，带有明显的赛博朋克风格，光线明亮，但环境略显荒凉。画面中充满了游戏的UI元素，表明玩家正处于游戏的“进行中”阶段。  ---  ### **角色**  - **玩家角色*
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,Genshin-Impact_01.png,1,2.0843,137.8,5.7997,512,11080,好的，这是一张来自游戏《原神》的截图，描绘了一个充满动感和奇幻色彩的战斗场景。以下是对画面中所有元素的详细描述：  ### 1. 角色  画面右侧有四位角色，他们正面对着巨大的怪物，似乎在进行一场激烈的战斗。  - **最前方的女性角色**：她有着金色的短发，身穿黑色的紧身衣和深色的裤子，腰间系着一条带有金属扣的腰带。她的手臂上佩戴着护腕，右手持有一把造型独特的武器，武器的形态像是一把长剑或匕首，
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,Genshin-Impact_01.png,2,2.0937,136.68,5.8398,512,11072,好的，这是一张来自游戏《原神》的截图，描绘了一个充满动感和奇幻色彩的战斗场景。以下是对画面中所有元素的详细描述：  ### 1. 角色  画面右侧有四位角色，他们正面对着巨大的怪物，似乎在进行一场激烈的战斗。  - **最前方的女性角色**：她有着金色的短发，身穿黑色的紧身衣和深色的裤子，腰间系着一条带有金属扣的腰带。她的手臂上佩戴着护腕，右手持有一把造型独特的武器，武器的形态像是一把长剑或匕首，
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,Genshin-Impact_01.png,3,2.0834,137.59,5.8045,512,11113,好的，这是一张来自游戏《原神》的截图，描绘了一个充满动感和奇幻色彩的战斗场景。以下是对画面中所有元素的详细描述：  ### 1. 角色  画面右侧有四位角色，他们正面对着巨大的怪物，似乎在进行一场激烈的战斗。  - **最前方的女性角色**：她有着金色的短发，身穿黑色的紧身衣和深色的裤子，腰间系着一条带有金属扣的腰带。她的手臂上佩戴着护腕，右手持有一把造型独特的武器，武器的形态像是一把长剑或匕首，
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,Minecraft_01.png,1,2.1538,127.49,6.17,512,11119,好的，这是一张《我的世界》游戏截图的详细中文描述。  ### 整体概览 这是一张第一人称视角的游戏截图，展示了玩家在一个阳光明媚的白天，位于一个由方块构成的、充满生机的自然环境中。画面中心是一座宏伟的城堡，周围是起伏的丘陵和植被。游戏的用户界面（UI）清晰地显示在屏幕的底部。  ---  ### 角色与用户界面 - **玩家视角**：画面的右下角显示了玩家的视角，可以看到玩家的左手（从玩家的视角看
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,Minecraft_01.png,2,2.1329,129.84,6.0763,512,11108,好的，这是一张《我的世界》游戏截图的详细中文描述。  ### 整体概览 这是一张第一人称视角的游戏截图，展示了玩家在一个阳光明媚的白天，位于一个由方块构成的、充满生机的自然环境中。画面中心是一座宏伟的城堡，周围是起伏的丘陵和植被。游戏的用户界面（UI）清晰地显示在屏幕的底部。  ---  ### 角色与用户界面 - **玩家视角**：画面的右下角显示了玩家的视角，可以看到玩家的左手（从玩家的视角看
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,Minecraft_01.png,3,2.1431,126.84,6.1798,512,11097,好的，这是一张《我的世界》游戏截图的详细中文描述。  ### 整体概览 这是一张第一人称视角的游戏截图，展示了玩家在一个阳光明媚的白天，位于一个由方块构成的、充满生机的自然环境中。画面中心是一座宏伟的城堡，周围是起伏的丘陵和植被。游戏的用户界面（UI）清晰地显示在屏幕的底部。  ---  ### 角色与用户界面 - **玩家视角**：画面的右下角显示了玩家的视角，可以看到玩家的左手（从玩家的视角看
Qwen/Qwen3-VL-2B-Instruct,detailed_desc,详细描述,P5R_01.png,1,2.0777,140.28,5.7276,512,11098,好的，这是一张来自游戏《女神异闻录5》（Persona 5）的战斗场景截图，以下是详细的中文描述：  ### 1. 核心角色与战斗状态  - **主角（玩家控制）**：画面中央偏左的黑衣角色是玩家操控的主角。他/她有着黑色的短发，身穿一件深色的长款外套，外套上有一个发光的蓝色圆形标志。他/她正手持一把长剑，剑尖指向前方，似乎正在准备攻击或施放技能。在角色的左上角，有一个“Shisaa”（希萨）的名
